Date,Open,High,Low,Close,Volume,Market Cap
19-Jul-19,"10,653.96","10,716.98","10,229.63","10,530.73","20,727,426,310","187,725,578,628"
18-Jul-19,"9,698.50","10,736.84","9,376.80","10,666.48","25,187,024,648","190,129,918,121"
17-Jul-19,"9,471.21","9,963.13","9,163.13","9,693.80","24,569,921,549","172,777,250,515"
16-Jul-19,"10,896.65","10,996.63","9,448.11","9,477.64","24,151,199,070","168,908,640,950"
15-Jul-19,"10,257.84","11,052.77","9,992.01","10,895.09","25,384,047,207","194,147,627,475"
14-Jul-19,"11,381.02","11,451.20","10,234.58","10,256.06","22,486,000,001","182,741,933,552"
13-Jul-19,"11,813.13","11,841.96","10,908.48","11,392.38","21,042,616,384","202,968,191,001"
12-Jul-19,"11,354.30","11,905.49","11,179.14","11,815.99","23,534,692,797","210,494,417,832"
11-Jul-19,"12,139.71","12,144.62","11,158.92","11,358.66","28,595,327,690","202,324,174,692"
10-Jul-19,"12,571.54","13,129.53","11,710.98","12,156.51","33,627,574,244","216,515,999,522"
9-Jul-19,"12,284.33","12,779.13","12,233.26","12,573.81","28,167,921,523","223,928,128,583"
8-Jul-19,"11,446.60","12,345.83","11,393.37","12,285.96","23,482,551,458","218,778,355,444"
7-Jul-19,"11,217.62","11,541.62","11,148.80","11,450.85","19,369,044,277","203,881,891,346"
6-Jul-19,"10,982.54","11,620.97","10,982.54","11,208.55","21,092,024,306","199,546,110,914"
5-Jul-19,"11,203.10","11,395.66","10,874.96","10,978.46","23,838,480,210","195,424,678,267"
4-Jul-19,"11,972.72","12,006.08","11,166.57","11,215.44","25,920,294,033","199,617,404,432"
3-Jul-19,"10,818.16","11,968.08","10,818.16","11,961.27","30,796,494,294","212,867,079,175"
2-Jul-19,"10,588.68","10,912.19","9,737.88","10,801.68","31,015,895,223","192,206,536,806"
1-Jul-19,"10,796.93","11,206.44","10,089.31","10,583.13","29,378,589,324","188,297,637,574"
30-Jun-19,"11,931.99","12,178.38","10,799.01","10,817.16","27,256,473,495","192,442,065,810"
29-Jun-19,"12,400.76","12,400.91","11,508.38","11,959.37","29,923,961,128","212,739,713,110"
28-Jun-19,"11,162.17","12,445.18","10,914.49","12,407.33","35,087,757,766","220,681,459,666"
27-Jun-19,"13,017.12","13,311.14","10,491.85","11,182.81","39,977,475,223","198,878,940,964"
26-Jun-19,"11,778.58","13,796.49","11,755.60","13,016.23","45,105,733,173","231,462,117,209"
25-Jun-19,"11,007.20","11,790.92","11,007.20","11,790.92","24,879,684,533","209,647,943,360"
24-Jun-19,"10,853.74","11,065.90","10,610.43","11,011.10","19,271,652,365","195,762,668,679"
23-Jun-19,"10,696.69","11,246.14","10,556.10","10,855.37","20,998,326,502","192,970,090,355"
22-Jun-19,"10,175.92","11,157.35","10,107.04","10,701.69","29,995,204,861","190,214,124,824"
21-Jun-19,"9,525.07","10,144.56","9,525.07","10,144.56","20,624,008,643","180,293,241,528"
20-Jun-19,"9,273.06","9,594.42","9,232.48","9,527.16","17,846,823,784","169,304,784,791"
19-Jun-19,"9,078.73","9,299.62","9,070.40","9,273.52","15,546,809,946","164,780,855,869"
18-Jun-19,"9,335.47","9,348.37","9,004.90","9,081.76","15,848,210,536","161,353,637,186"
17-Jun-19,"8,988.92","9,416.41","8,988.92","9,320.35","15,562,951,919","165,573,372,261"
16-Jun-19,"8,841.44","9,335.87","8,814.56","8,994.49","23,348,550,311","159,769,423,370"
15-Jun-19,"8,689.75","8,859.13","8,618.40","8,838.38","18,371,033,227","156,982,138,835"
14-Jun-19,"8,230.90","8,710.64","8,183.39","8,693.83","19,831,162,906","154,398,880,249"
